"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Civilian Population 16 to 19 Years:","Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"17031010100","Census Tract 101, Cook County, Illinois","ACSSF","il","140","00","0005990",,,,,"17","031",,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010100","Census Tract 101",,,,60316,189,62,127,3285,399,2886,2398,1678,680,216,120,4534,3768,1832,1725,0,81,0,0,130,766,173,26,0,0,0,221,346
"17031010201","Census Tract 102.01, Cook County, Illinois","ACSSF","il","140","00","0005991",,,,,"17","031",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010201","Census Tract 102.01",,,,43750,367,61,306,4931,701,4230,2764,1616,790,190,73,8232,6185,2074,3100,0,346,0,98,567,2047,589,169,34,19,0,699,537
"17031010202","Census Tract 102.02, Cook County, Illinois","ACSSF","il","140","00","0005992",,,,,"17","031",,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010202","Census Tract 102.02",,,,45096,148,0,148,2178,409,1769,1337,792,268,84,35,3124,2289,902,1032,0,174,0,149,32,835,304,0,37,0,0,409,85
"17031010300","Census Tract 103, Cook County, Illinois","ACSSF","il","140","00","0005993",,,,,"17","031",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010300","Census Tract 103",,,,60846,48,0,48,5092,657,4435,3330,2216,848,150,17,6085,5027,2836,1745,33,215,7,0,191,1058,221,14,26,0,0,716,81
"17031010400","Census Tract 104, Cook County, Illinois","ACSSF","il","140","00","0005994",,,,,"17","031",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010400","Census Tract 104",,,,43024,1079,0,1079,2510,73,2437,2288,1480,434,102,42,4587,4221,3342,491,0,240,0,16,132,366,277,7,0,0,0,56,26
"17031010501","Census Tract 105.01, Cook County, Illinois","ACSSF","il","140","00","0005995",,,,,"17","031",,,"010501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010501","Census Tract 105.01",,,,47364,42,3,39,3212,25,3187,2909,1922,812,133,112,4057,3684,2438,949,0,248,0,0,49,373,49,35,0,26,0,186,77
"17031010502","Census Tract 105.02, Cook County, Illinois","ACSSF","il","140","00","0005996",,,,,"17","031",,,"010502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010502","Census Tract 105.02",,,,48831,70,0,70,1951,62,1889,1659,1286,558,165,130,2816,2462,1652,483,0,168,0,9,150,354,38,25,3,0,0,206,82
"17031010503","Census Tract 105.03, Cook County, Illinois","ACSSF","il","140","00","0005997",,,,,"17","031",,,"010503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010503","Census Tract 105.03",,,,16399,53,0,53,1173,202,971,755,504,248,73,45,2182,2143,1644,258,0,109,0,0,132,39,38,0,0,0,0,0,1
"17031010600","Census Tract 106, Cook County, Illinois","ACSSF","il","140","00","0005998",,,,,"17","031",,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031010600","Census Tract 106",,,,58993,379,0,379,4646,298,4348,3813,2934,1146,255,164,6553,5543,3490,1422,0,265,0,0,366,1010,253,0,0,0,0,698,59
