State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Median Family Income (In 2021 Inflation Adjusted Dollars),Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,SE_A14010_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17,031,010100,14000US17031010100,Census Tract 101,,83889,4534,4534,2005,1751,0,81,0,221,476,4534,3768,1832,1725,0,81,0,0,130,766,173,26,0,0,0,221,346,189,62,127,4439,495,155,537,283,219,2750,624,357,267
17,031,010201,14000US17031010201,Census Tract 102.01,,44531,8232,8232,2663,3269,34,365,0,797,1104,8232,6185,2074,3100,0,346,0,98,567,2047,589,169,34,19,0,699,537,367,61,306,8219,1628,578,693,851,699,3770,2469,1311,1158
17,031,010202,14000US17031010202,Census Tract 102.02,,47132,3124,3124,1206,1032,37,174,0,558,117,3124,2289,902,1032,0,174,0,149,32,835,304,0,37,0,0,409,85,148,0,148,2813,116,227,169,511,575,1215,559,100,459
17,031,010300,14000US17031010300,Census Tract 103,,79195,6085,6085,3057,1759,59,215,7,716,272,6085,5027,2836,1745,33,215,7,0,191,1058,221,14,26,0,0,716,81,48,0,48,5189,251,180,182,717,392,3467,510,73,437
17,031,010400,14000US17031010400,Census Tract 104,,99705,4587,4587,3619,498,0,240,0,72,158,4587,4221,3342,491,0,240,0,16,132,366,277,7,0,0,0,56,26,1079,0,1079,3011,385,148,182,312,164,1820,106,91,15
17,031,010501,14000US17031010501,Census Tract 105.01,,86016,4057,4057,2487,984,0,274,0,186,126,4057,3684,2438,949,0,248,0,0,49,373,49,35,0,26,0,186,77,42,3,39,4055,220,22,174,457,420,2762,469,0,469
17,031,010502,14000US17031010502,Census Tract 105.02,,75521,2816,2816,1690,508,3,168,0,215,232,2816,2462,1652,483,0,168,0,9,150,354,38,25,3,0,0,206,82,70,0,70,2742,404,130,107,196,174,1731,233,60,173
17,031,010503,14000US17031010503,Census Tract 105.03,,56250,2182,2182,1682,258,0,109,0,0,133,2182,2143,1644,258,0,109,0,0,132,39,38,0,0,0,0,0,1,53,0,53,2182,658,217,331,205,202,569,141,0,141
17,031,010600,14000US17031010600,Census Tract 106,,109926,6553,6553,3743,1422,0,265,0,698,425,6553,5543,3490,1422,0,265,0,0,366,1010,253,0,0,0,0,698,59,379,0,379,6412,328,398,455,413,441,4377,977,340,637
