Name,Address,City,State,Zip,Longitude,Latitude,Match Score
84-85th King Dr. Block Club,8445 S. King Dr.,Chicago,IL,,-87.614613914683,41.740616211547,100
5300-5400 S Wabash Ave,5247 S Wabash Ave 60615,Chicago,IL,,-87.624136175785,41.798622962925,98.21
6500-6559 South Mozart St. Community Block Club,6515 S Mozart St.,Chicago,IL,,-87.694478532157,41.774922125868,100
1000 N Ridgeway,1039 N Ridgeway Ave,Chicago,IL,,-87.720083234701,41.900223112619,100
1000 N. Harding Block Club,1100 N Harding,Chicago,IL,,-87.725052194542,41.900997223286,98.71
101 Eberhart Block Club,10127 S. Eberhart Ave,Chicago,IL,,-87.611359892232,41.710219994052,100
110 and 109 Streets of South Eberhart,10951 S. Eberhart Ave,Chicago,IL,,-87.610986646084,41.694930061556,100
1100 N Monticello Block Club,1102 N Monticello Ave,Chicago,IL,,-87.717735295984,41.901127771428,100
1100 S Mason Block Club,1100 S Mason Ave,Chicago,IL,,-87.77294261743,41.867180225378,100
115th And Bishop Block Club,11537 S Bishop,Chicago,IL,,-87.657888758768,41.683785902189,98.71
1200 West 74th st Block Club,1200 W 74th St,Chicago,IL,,-87.654056835327,41.759657302562,100
120th Yale Block Club,120 S Yale Ave,Chicago,IL,,-87.982365234793,41.887205918888,97.96
1400 W 72nd Place,1448 W 72 Pl.,Chicago,IL,,-87.660801134846,41.762253717409,100
1600 North Major Block Club,1624 N Major Ave,Chicago,IL,,-87.767971310657,41.910174694802,100
1700 East 85th Street block club,1709 East 85th Street,Chicago,IL,,-87.582400835856,41.740561896814,100
1700 S Eggleston Block Club,11727 S Eggleston Ave,Chicago,IL,,-87.63351192122,41.680749641583,100
2900 West Adams Block Club,2928 W Adams St,Chicago,IL,,-87.699843536923,41.878333562928,100
3800 W Monroe Block Club,3800 W Monroe St,Chicago,IL,,-87.720846917828,41.879877305336,100
4000 N. Troy Club,4000 N Troy St,Chicago,IL,,-87.70686166853,41.953993625654,100
41st and Ellis Block Club,4136 S. Ellis Ave,Chicago,IL,,-87.602188497597,41.818905198862,100
5500 W. Adams Block Club,5560 W. Adams St,Chicago,IL,,-87.764094009886,41.878387458566,100
5500 West Quincy Block Club,5500 W Quincy St,Chicago,IL,60644,-87.761788360252,41.877536241018,100
57th Wolcott Block Club,5720 S. Wolcott Ave,Chicago,IL,,-87.671791653927,41.789610447264,100
6100 block of South Langley Ave,6129 S Langley Ave,Chicago,IL,,-87.608434524205,41.783135385152,100
6400 S Campbell BC,6400 S Campbell Ave,Chicago,IL,,-87.686054468009,41.777281128698,100
65th & Normal Block Club,6553 S Normal Blvd,Chicago,IL,60621,-87.636839117686,41.774609229422,100
65th & Peoria Block Club,6532 S Peoria St,Chicago,IL,60621,-87.647126562729,41.775062690384,100
6800 S. Paulina Block,6841 S Paulina,Chicago,IL,,-87.666385829293,41.769132745345,98.71
6900 S Michigan Ave,6900 S Michigan Ave,Chicago,IL,,-87.621807515445,41.769003999312,100
700 W 61st Block Club,721 W 61st St.,Chicago,IL,,-87.643430143429,41.78335017142,100
7100 Eberhart Block Club,7127 S Eberhart Ave,Chicago,IL,,-87.612784731953,41.764942087124,100
7100 S Vernon Block Club,7110 S Vernon Avenue,Chicago,IL,,-87.614061714902,41.765300874489,100
71St Place/Woodlawn Block Club,1215 E 71st. Place,Chicago,IL,,-87.595056503823,41.765036341625,100
73rd & Paxton Block Club,7343 S Paxton Ave,Chicago,IL,,-87.571235386455,41.761328061931,100
73rd Southshore block club,73rd Southshore,Chicago,IL,,-87.57783,41.76198,92.04
7400 Block of South Peoria,7436 S. Peoria,Chicago,IL,,-87.646699420943,41.758605996966,98.71
7400 S Lafayette Block Club,7426 S Lafayette Ave,Chicago,IL,,-87.626446060662,41.759157777652,100
74th & Indiana Block Club,74th Indiana,Chicago,IL,,-87.617220016018,41.637254707792,86.32
75th & Lawrence Block Club,7525 S St Lawrence,Chicago,IL,,-87.610197070804,41.75769840449,98.71
"75th,76th,77th,78th Wabash Block Club",7755 S. Wabash,Chicago,IL,,-87.623009145084,41.753041125719,98.71
7600 block of Eberhart,"7620 S. Eberhart Ave,.",Chicago,IL,,-87.612640144123,41.755989041066,100
7600 S Chappel Block Club,7602 S Chappel Ave,Chicago,IL,,-87.574899703066,41.756857448144,100
7600 South King Drive,7631 S King Dr,Chicago,IL,,-87.615032758384,41.755679916477,100
7700 S Luella Block Club,7717 S Luella Ave,Chicago,IL,,-87.569922109865,41.754720733387,100
7700 Sangamon Block Club,7754 S Sangamon St,Chicago,IL,,-87.647723605692,41.752568470199,100
7700 SOUTH HERMITAGE BLOCK CLUB,7730 S Hermitage Ave,Chicago,IL,,-87.667156629109,41.753010028858,100
"7700,7800 S Peoria Block Club",7741 S Peoria St,Chicago,IL,,-87.646499177276,41.752991882038,100
77th & King Dr. Block Club,7723 S King Drive,Chicago,IL,,-87.614991519421,41.754060574693,100
77th & Rhodes Block Club,7734 S. Rhodes Ave,Chicago,IL,,-87.611370201973,41.753771273305,100
77th & Sangamon Block Club,7722 S Sangamon St,Chicago,IL,,-87.647761827171,41.753560300802,100
77th King Drive Block Club,7723 S King Dr.,Chicago,IL,,-87.614991519421,41.754060574693,100
77th Maryland and 77th Drexel Block Club,7701 S. Maryland Ave.,Chicago,IL,,-87.604030504638,41.75482349552,100
79th and 80th S Constance Ave Combined Block Club,7900 S. Constance Ave,Chicago,IL,,-87.580135469349,41.751501714809,100
79th and Calumet Block Club,7900 S Calumet Ave,Chicago,IL,,-87.616589780718,41.75076686393,100
8000 S Euclid Ave Block Club,8017 S Euclid Ave,Chicago,IL,,-87.577112441686,41.749214996467,100
